Date,Ticker,Open,High,Low,Close,Volume,Adj Close
28/9/2015,PETR3,"8,01","8,05","7,66","7,67",11763500,"7,67"
29/9/2015,PETR3,"7,71","8,17","7,71","7,85",19091900,"7,85"
30/9/2015,PETR3,"8,6","8,62","8,2","8,54",32369200,"8,54"
1/10/2015,PETR3,"8,7","8,86","8,29","8,37",15479600,"8,37"
2/10/2015,PETR3,"8,34","9,38","8,27","9,15",21661700,"9,15"
5/10/2015,PETR3,"9,36","9,77","9,27","9,4",16608900,"9,4"
6/10/2015,PETR3,"9,58","10,13","9,5","9,89",15749600,"9,89"
7/10/2015,PETR3,"10,45",11,"10,18","10,4",30096000,"10,4"
8/10/2015,PETR3,"10,44","10,95","10,14","10,75",18560100,"10,75"
9/10/2015,PETR3,"11,08","11,18","10,58","10,71",27296100,"10,71"
13/10/2015,PETR3,"10,23","10,33","9,78","9,84",17862500,"9,84"
14/10/2015,PETR3,"9,76",10,"9,5","9,56",29349200,"9,56"
15/10/2015,PETR3,"9,68","9,71","9,23","9,66",14049600,"9,66"
16/10/2015,PETR3,"9,65","9,87","9,43","9,7",11176500,"9,7"
19/10/2015,PETR3,"9,69","9,71","9,43","9,67",11924800,"9,67"
20/10/2015,PETR3,"9,8",10,"9,63","9,8",12460400,"9,8"
21/10/2015,PETR3,"9,7","9,79","9,4","9,49",9749100,"9,49"
22/10/2015,PETR3,"9,55","9,91","9,54","9,78",10755200,"9,78"
23/10/2015,PETR3,"10,05","10,05","9,64","9,69",12267300,"9,69"
26/10/2015,PETR3,"9,75","9,88","9,51","9,61",7240100,"9,61"
27/10/2015,PETR3,"9,6","9,63","9,22","9,24",9332100,"9,24"
28/10/2015,PETR3,"9,21","9,72","9,2","9,4",15906500,"9,4"
29/10/2015,PETR3,"9,28","9,8","9,28","9,3",13885300,"9,3"
30/10/2015,PETR3,"9,25","9,53","9,18","9,38",9324600,"9,38"
3/11/2015,PETR3,"9,58","10,56","9,51","10,56",19280400,"10,56"
4/11/2015,PETR3,"10,57","10,8","9,87","9,89",13726800,"9,89"
5/11/2015,PETR3,"9,9","10,1","9,66","9,9",9185400,"9,9"
6/11/2015,PETR3,"9,84","9,94","9,41","9,58",10719800,"9,58"
9/11/2015,PETR3,"9,53","9,74","9,26","9,27",14441800,"9,27"
10/11/2015,PETR3,"9,23","9,34","9,09","9,21",12190600,"9,21"
11/11/2015,PETR3,"9,31","9,52","9,16","9,26",16809600,"9,26"
12/11/2015,PETR3,"9,17","9,31","9,02","9,02",11921000,"9,02"
13/11/2015,PETR3,"8,9","9,1","8,67","8,78",31428600,"8,78"
16/11/2015,PETR3,"8,84","9,4","8,84","9,38",16794400,"9,38"
17/11/2015,PETR3,"9,5","9,64","9,3","9,42",13719700,"9,42"
18/11/2015,PETR3,"9,45","9,8","9,43","9,52",12316400,"9,52"
19/11/2015,PETR3,"9,73","9,73","9,23","9,51",17951800,"9,51"
23/11/2015,PETR3,"9,65","9,87","9,5","9,85",14279900,"9,85"
24/11/2015,PETR3,"9,81","10,58","9,8","10,45",16262500,"10,45"
25/11/2015,PETR3,"10,17","10,28","9,66","9,66",18576000,"9,66"
26/11/2015,PETR3,"9,69","9,88","9,59","9,7",6929600,"9,7"
27/11/2015,PETR3,"9,6","9,69","9,33","9,33",12721400,"9,33"
30/11/2015,PETR3,"9,25","9,71","9,12","9,41",31244800,"9,41"
1/12/2015,PETR3,"9,35","9,56","9,21","9,24",13847500,"9,24"
2/12/2015,PETR3,"9,27","9,47","9,1","9,47",18471600,"9,47"
3/12/2015,PETR3,"9,94","10,3","9,62","9,8",25525400,"9,8"
4/12/2015,PETR3,"9,75",10,"9,05","9,13",22133300,"9,13"
7/12/2015,PETR3,"9,21","9,27","8,62","8,64",15425300,"8,64"
8/12/2015,PETR3,"8,65","8,74","8,36","8,54",12474800,"8,54"
9/12/2015,PETR3,"8,9","9,65","8,78","9,46",23192200,"9,46"
10/12/2015,PETR3,"9,3","9,46","9,07","9,2",23037500,"9,2"
11/12/2015,PETR3,"9,02","9,39","8,84","8,85",20315400,"8,85"
14/12/2015,PETR3,"8,79","8,93","8,61","8,77",12345400,"8,77"
15/12/2015,PETR3,"8,89","9,14","8,88","9,1",8283500,"9,1"
16/12/2015,PETR3,"8,99","9,09","8,74","8,95",9814000,"8,95"
17/12/2015,PETR3,"9,2","9,36","8,82","8,82",11469100,"8,82"
18/12/2015,PETR3,"8,51","8,84","8,51","8,66",16447100,"8,66"
21/12/2015,PETR3,"8,67","8,75","8,18","8,31",10087400,"8,31"
22/12/2015,PETR3,"8,41","8,6","8,19","8,54",7498300,"8,54"
23/12/2015,PETR3,"8,74","8,98","8,7","8,88",11095900,"8,88"
28/12/2015,PETR3,"8,87","8,87","8,57","8,61",5461400,"8,61"
29/12/2015,PETR3,"8,71","8,89","8,51","8,57",5183400,"8,57"
30/12/2015,PETR3,"8,57","8,63","8,37","8,57",8649000,"8,57"
4/1/2016,PETR3,"8,31","8,96","8,31","8,67",16912500,"8,67"
5/1/2016,PETR3,"8,73","8,89","8,35","8,45",9146500,"8,45"
6/1/2016,PETR3,"8,22","8,25","8,06","8,06",9908400,"8,06"
7/1/2016,PETR3,"7,72","8,07","7,65","7,83",10777500,"7,83"
8/1/2016,PETR3,8,"8,04","7,68","7,86",10759800,"7,86"
11/1/2016,PETR3,"7,89","7,89","7,52","7,58",8459800,"7,58"
12/1/2016,PETR3,"7,62","7,64","6,83",7,15797700,7
13/1/2016,PETR3,"7,18","7,28","6,8","6,8",14299300,"6,8"
14/1/2016,PETR3,"6,8","7,28","6,6","7,23",14608000,"7,23"
15/1/2016,PETR3,"6,94","7,04","6,61","6,71",16477400,"6,71"
18/1/2016,PETR3,"6,76","6,77","6,3","6,3",5738000,"6,3"
19/1/2016,PETR3,"6,68","6,68","6,15","6,15",13364200,"6,15"
20/1/2016,PETR3,"5,93","5,99","5,67","5,93",12696100,"5,93"
21/1/2016,PETR3,"5,94","6,47","5,91","6,29",19709900,"6,29"
22/1/2016,PETR3,"6,6","6,76","6,21","6,21",26399700,"6,21"
26/1/2016,PETR3,"6,1","6,24","5,86","5,96",13040400,"5,96"
27/1/2016,PETR3,"5,98","6,79","5,9","6,54",21493300,"6,54"
28/1/2016,PETR3,"6,7","7,36","6,23","6,52",25596800,"6,52"
29/1/2016,PETR3,"6,61","6,97","6,41","6,93",29053400,"6,93"
1/2/2016,PETR3,"6,81","7,04","6,55","6,58",17751700,"6,58"
2/2/2016,PETR3,"6,38","6,55","6,02","6,02",13664300,"6,02"
3/2/2016,PETR3,"6,1","6,32","5,93","6,18",15966400,"6,18"
4/2/2016,PETR3,"6,3",7,"6,06","6,67",27839800,"6,67"
5/2/2016,PETR3,"6,61","6,82","6,39","6,39",14089800,"6,39"
10/2/2016,PETR3,"6,04","6,21","6,02","6,12",11824000,"6,12"
11/2/2016,PETR3,"5,89","6,05","5,78","5,91",12812600,"5,91"
12/2/2016,PETR3,"6,17","6,42","6,06","6,31",14200200,"6,31"
15/2/2016,PETR3,"6,52","6,6","6,43","6,43",3822100,"6,43"
16/2/2016,PETR3,"6,44","6,66","6,29","6,29",13694000,"6,29"
17/2/2016,PETR3,"6,41","6,97","6,41","6,78",24782600,"6,78"
18/2/2016,PETR3,"6,8","7,07","6,58","6,6",14730400,"6,6"
19/2/2016,PETR3,"6,53","6,55","6,31","6,38",10001500,"6,38"
22/2/2016,PETR3,"6,71","7,42","6,65","7,41",22126000,"7,41"
23/2/2016,PETR3,"7,26","7,75","7,03","7,08",20439100,"7,08"
24/2/2016,PETR3,"6,83","7,15","6,74","7,03",14172300,"7,03"
25/2/2016,PETR3,"6,96","7,3","6,85","6,98",13320200,"6,98"
26/2/2016,PETR3,"7,24","7,35","6,87","6,89",10907400,"6,89"
29/2/2016,PETR3,"7,15","7,48","7,1","7,35",17867800,"7,35"
1/3/2016,PETR3,"7,59","7,67","7,21","7,57",21920700,"7,57"
2/3/2016,PETR3,"7,47","8,14","7,38","8,1",19386300,"8,1"
3/3/2016,PETR3,"8,3","9,36","8,23","9,11",50863300,"9,11"
4/3/2016,PETR3,"9,11","10,51","9,11","9,98",52918800,"9,98"
7/3/2016,PETR3,"10,2","10,4","9,67","9,91",22803500,"9,91"
8/3/2016,PETR3,"9,9","10,52","9,37","9,65",35828200,"9,65"
9/3/2016,PETR3,"9,96","10,09","9,4","9,56",28823300,"9,56"
10/3/2016,PETR3,"9,83","9,94","9,23","9,81",31324900,"9,81"
11/3/2016,PETR3,"9,8","10,25","9,57","10,09",14230000,"10,09"
14/3/2016,PETR3,"10,16","10,19","9,52","9,54",16408600,"9,54"
15/3/2016,PETR3,"8,99","9,17","8,71","8,91",26944700,"8,91"
16/3/2016,PETR3,"8,91","9,69","8,77","9,6",21836600,"9,6"
17/3/2016,PETR3,"10,52","10,66","10,02","10,44",36588400,"10,44"
18/3/2016,PETR3,"10,55","10,59","9,84","10,3",27464600,"10,3"
21/3/2016,PETR3,"10,19","10,49","10,03","10,25",10381000,"10,25"
22/3/2016,PETR3,10,"10,59","9,85","10,48",21415900,"10,48"
23/3/2016,PETR3,"10,2","10,33","9,86","9,92",14058300,"9,92"
24/3/2016,PETR3,"9,66","10,18","9,36","9,99",14529800,"9,99"
28/3/2016,PETR3,"10,45","10,73","9,99","10,63",12959100,"10,63"
29/3/2016,PETR3,"10,5","10,94","10,23","10,63",14787100,"10,63"
30/3/2016,PETR3,"10,9","11,29","10,63","10,7",20811100,"10,7"
31/3/2016,PETR3,"10,63","10,9","10,48","10,63",15691200,"10,63"
1/4/2016,PETR3,"10,31","10,61","10,12","10,53",14040800,"10,53"
4/4/2016,PETR3,"10,16","10,45","9,52","9,6",15674800,"9,6"
5/4/2016,PETR3,"9,52","10,07","9,39","9,82",14876000,"9,82"
6/4/2016,PETR3,"9,76","10,16","9,71","9,73",14194200,"9,73"
7/4/2016,PETR3,"9,99","10,06","9,73","9,94",7739400,"9,94"
8/4/2016,PETR3,"10,4","10,67","10,38","10,49",17219200,"10,49"
11/4/2016,PETR3,"10,6","10,75","10,36","10,42",20921400,"10,42"
12/4/2016,PETR3,"10,62","11,52","10,55","11,35",16109000,"11,35"
13/4/2016,PETR3,"11,71","12,07","11,39","11,83",21719300,"11,83"
14/4/2016,PETR3,"11,95","12,11","11,31","11,47",16036300,"11,47"
15/4/2016,PETR3,"11,59","12,25","11,29","11,95",16220900,"11,95"
18/4/2016,PETR3,"11,88","12,3","11,09","11,77",15257500,"11,77"
19/4/2016,PETR3,"11,92","12,48","11,8","12,36",13930800,"12,36"
20/4/2016,PETR3,"12,1","12,61","12,03","12,34",22798700,"12,34"
22/4/2016,PETR3,"12,14","13,21","12,14","12,9",17158500,"12,9"
25/4/2016,PETR3,"12,8","13,1","12,23","12,36",8756900,"12,36"
26/4/2016,PETR3,"12,48","12,94","12,39","12,78",9609100,"12,78"
27/4/2016,PETR3,"12,98","13,47","12,91","13,4",19030200,"13,4"
28/4/2016,PETR3,"13,46","13,97","13,28","13,57",13095600,"13,57"
29/4/2016,PETR3,"13,75","13,84","13,11","13,27",11832800,"13,27"
2/5/2016,PETR3,"13,33","13,53","12,84","13,27",7876000,"13,27"
3/5/2016,PETR3,"13,2","13,2","12,69","12,82",8180300,"12,82"
4/5/2016,PETR3,"12,9","13,3","12,8","12,96",9468600,"12,96"
5/5/2016,PETR3,"13,43","13,54","12,35","12,64",8752100,"12,64"
6/5/2016,PETR3,"12,35","13,13","12,27","12,93",6254900,"12,93"
9/5/2016,PETR3,"12,93","12,94","11,64","12,07",14992000,"12,07"
10/5/2016,PETR3,"12,43","12,85","12,27","12,85",8368300,"12,85"
11/5/2016,PETR3,"13,05","13,34","12,56","12,91",8727600,"12,91"
12/5/2016,PETR3,"13,06","13,35","12,6","12,71",8719800,"12,71"
13/5/2016,PETR3,"12,78","12,96","11,91","12,12",12468200,"12,12"
16/5/2016,PETR3,"12,24","12,92","12,24","12,54",7985200,"12,54"
17/5/2016,PETR3,"12,66","12,78","12,23","12,4",9704800,"12,4"
18/5/2016,PETR3,"12,2","12,54","12,01","12,01",11337000,"12,01"
19/5/2016,PETR3,"11,9","11,91","11,12","11,51",9408400,"11,51"
20/5/2016,PETR3,"11,76","12,15","11,33","11,33",11506700,"11,33"
23/5/2016,PETR3,"10,9","11,23","10,84","11,04",10352100,"11,04"
24/5/2016,PETR3,"11,3","11,5","10,92","11,09",9698200,"11,09"
25/5/2016,PETR3,"11,13","11,42","10,99","11,1",10917500,"11,1"
27/5/2016,PETR3,"10,85",11,"10,46","10,49",6963100,"10,49"
30/5/2016,PETR3,"10,45","10,92","10,25","10,58",2647000,"10,58"
31/5/2016,PETR3,"10,6","10,95","10,18","10,18",18808400,"10,18"
1/6/2016,PETR3,"10,15","10,52","9,95","10,41",10780400,"10,41"
2/6/2016,PETR3,"10,38","10,75","10,2","10,7",8740700,"10,7"
3/6/2016,PETR3,"10,79","10,99","10,67","10,81",8140300,"10,81"
6/6/2016,PETR3,"10,98","11,04","10,74","10,8",8077800,"10,8"
7/6/2016,PETR3,"10,75","11,28","10,68","11,13",13049700,"11,13"
8/6/2016,PETR3,"11,25","12,13","11,25","12,05",13273700,"12,05"
9/6/2016,PETR3,"11,96","12,02","11,62","11,75",6550100,"11,75"
10/6/2016,PETR3,"11,39","11,53","11,03","11,03",10598400,"11,03"
13/6/2016,PETR3,"10,88","11,13","10,7","10,82",8768400,"10,82"
14/6/2016,PETR3,"10,79","10,99","10,3","10,48",12015200,"10,48"
15/6/2016,PETR3,"10,46","10,99","10,39","10,64",18401100,"10,64"
16/6/2016,PETR3,"10,54","10,77","10,31","10,77",11684400,"10,77"
17/6/2016,PETR3,"11,01","11,5","11,01","11,39",14227500,"11,39"
20/6/2016,PETR3,"11,72","11,97","11,6","11,73",13260500,"11,73"
21/6/2016,PETR3,"11,7",12,"11,37","11,94",8962500,"11,94"
22/6/2016,PETR3,"12,01","12,26","11,65","11,65",10140100,"11,65"
23/6/2016,PETR3,"11,92","12,07","11,83","12,05",9435200,"12,05"
24/6/2016,PETR3,"11,2","11,61","11,04","11,43",15420500,"11,43"
27/6/2016,PETR3,"11,43","11,52","10,63","10,8",19702800,"10,8"
28/6/2016,PETR3,"11,23","11,42","11,06","11,25",10626500,"11,25"
29/6/2016,PETR3,"11,48","11,79","11,31","11,57",9054800,"11,57"
30/6/2016,PETR3,"11,45","11,55","11,25","11,51",9797100,"11,51"
1/7/2016,PETR3,"11,55","12,14","11,42","12,06",9532100,"12,06"
4/7/2016,PETR3,"12,11","12,33","11,99","12,02",2096200,"12,02"
5/7/2016,PETR3,"11,72","11,85","11,22","11,34",7323100,"11,34"
6/7/2016,PETR3,"11,15","11,74","11,01","11,69",8514500,"11,69"
7/7/2016,PETR3,"11,91","12,62","11,8","11,97",19077100,"11,97"
8/7/2016,PETR3,"12,23","12,48","12,13","12,3",8401600,"12,3"
11/7/2016,PETR3,"12,5","12,89","12,4","12,89",8959600,"12,89"
12/7/2016,PETR3,"13,15","13,48","13,11","13,29",10939400,"13,29"
13/7/2016,PETR3,"13,06","13,18","12,57","12,99",11526200,"12,99"
14/7/2016,PETR3,"13,35","13,39","12,97","13,32",11253400,"13,32"
15/7/2016,PETR3,"13,35","13,48","13,1","13,22",10908600,"13,22"
18/7/2016,PETR3,"13,15","13,79","13,09","13,66",12433100,"13,66"
19/7/2016,PETR3,"13,71","13,95","13,56","13,83",8463500,"13,83"
20/7/2016,PETR3,"13,81","13,88","13,54","13,65",7650600,"13,65"
21/7/2016,PETR3,"13,58","13,95","13,58","13,8",5610400,"13,8"
22/7/2016,PETR3,"13,85","13,86","13,56","13,75",5327100,"13,75"
25/7/2016,PETR3,"13,98","14,1","13,64","13,76",7808000,"13,76"
26/7/2016,PETR3,"13,68","13,84","13,58","13,74",8019300,"13,74"
27/7/2016,PETR3,"13,86","13,95","13,58","13,6",12297400,"13,6"
28/7/2016,PETR3,"13,48","13,55","13,18","13,34",6354400,"13,34"
29/7/2016,PETR3,"13,57","14,16","13,57","14,01",14208800,"14,01"
1/8/2016,PETR3,"14,04","14,2","13,19","13,19",10835900,"13,19"
2/8/2016,PETR3,"13,19","13,56","12,92","12,97",10422800,"12,97"
3/8/2016,PETR3,"13,05","13,57","12,84","13,55",11324100,"13,55"
4/8/2016,PETR3,"13,55","13,73","13,41","13,57",11109500,"13,57"
5/8/2016,PETR3,"13,66","13,68","13,23","13,26",7594600,"13,26"
8/8/2016,PETR3,"13,38","13,93","13,38","13,75",8091000,"13,75"
9/8/2016,PETR3,"13,75","13,99","13,47","13,68",14873300,"13,68"
10/8/2016,PETR3,"13,79","13,8","13,13","13,16",8104700,"13,16"
11/8/2016,PETR3,"13,2","13,74","13,16","13,68",8627600,"13,68"
12/8/2016,PETR3,"13,6","14,22","13,6","13,91",9601500,"13,91"
15/8/2016,PETR3,"14,02","14,54","13,97","14,52",11999800,"14,52"
16/8/2016,PETR3,"14,63","14,86","14,29","14,66",9273300,"14,66"
17/8/2016,PETR3,"14,54","14,98","14,42","14,91",10734400,"14,91"
18/8/2016,PETR3,"14,99","15,4","14,93","15,18",11293600,"15,18"
19/8/2016,PETR3,"15,07","15,27","14,93","15,06",5372800,"15,06"
22/8/2016,PETR3,"14,9","14,93","14,42","14,47",7997000,"14,47"
23/8/2016,PETR3,"14,56","15,17","14,49","14,93",9546800,"14,93"
24/8/2016,PETR3,"14,75","15,05","14,61","14,64",8019000,"14,64"
25/8/2016,PETR3,"14,7","14,93","14,62","14,85",6818700,"14,85"
26/8/2016,PETR3,"14,94","15,16","14,76","14,96",9549900,"14,96"
29/8/2016,PETR3,"14,95","15,42","14,82","15,19",9682700,"15,19"
30/8/2016,PETR3,"15,35","15,57","15,18","15,18",9105200,"15,18"
31/8/2016,PETR3,"15,3","15,44","14,61","14,74",12896300,"14,74"
1/9/2016,PETR3,"14,79","15,13","14,64","14,87",11314800,"14,87"
2/9/2016,PETR3,"15,15","15,68","15,13","15,63",12646400,"15,63"
5/9/2016,PETR3,"15,82","16,14","15,82","16,08",3585700,"16,08"
6/9/2016,PETR3,16,16,"15,71",16,13737800,16
8/9/2016,PETR3,"16,05","16,45","15,96","16,39",9276500,"16,39"
9/9/2016,PETR3,"16,05","16,15","15,5","15,5",9089800,"15,5"
12/9/2016,PETR3,"15,44","16,1","15,4","16,03",9557000,"16,03"
13/9/2016,PETR3,"15,69","15,88","14,76","14,81",13450900,"14,81"
14/9/2016,PETR3,15,"15,28","14,77","14,94",9956400,"14,94"
15/9/2016,PETR3,"15,16","15,57","15,02","15,29",9303600,"15,29"
16/9/2016,PETR3,"15,2","15,26","14,89","14,9",12051100,"14,9"
19/9/2016,PETR3,"15,19","15,32","14,84","14,89",5894000,"14,89"
20/9/2016,PETR3,"15,21","15,46","15,02","15,05",12004300,"15,05"
21/9/2016,PETR3,"15,15","15,39",15,"15,34",13962700,"15,34"
22/9/2016,PETR3,"15,65","15,76","15,46","15,54",9765100,"15,54"
23/9/2016,PETR3,"15,43","15,5","14,8","14,97",12389800,"14,97"
26/9/2016,PETR3,"14,9","14,96","14,66","14,7",6602400,"14,7"
27/9/2016,PETR3,"14,7","14,72","14,18","14,65",8197700,"14,65"